City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Whitehorse,CA,2021-04-08 00:00:26,60.7161,-135.0538,19.99,30,20,6.91
215,Gafargaon,BD,2021-04-08 00:00:26,24.4333,90.5667,82.4,65,40,11.5
216,Guerrero Negro,MX,2021-04-07 23:58:48,27.9769,-114.0611,68.81,60,10,17.34
217,Portland,US,2021-04-07 23:56:08,45.5234,-122.6762,52.0,62,90,14.97
218,Ahipara,NZ,2021-04-08 00:00:27,-35.1667,173.1667,70.34,60,42,1.68
219,Severo-Kurilsk,RU,2021-04-08 00:00:28,50.6789,156.125,31.68,89,100,49.1
220,Lavrentiya,RU,2021-04-08 00:00:28,65.5833,-171.0,-0.74,76,47,6.46
221,Cabo San Lucas,MX,2021-04-07 23:59:38,22.8909,-109.9124,86.0,30,40,6.91
222,Praya,CV,2021-04-08 00:00:29,14.9215,-23.5087,73.4,56,0,20.71
223,Nizhniy Kuranakh,RU,2021-04-08 00:00:29,58.8353,125.4869,20.75,79,98,1.28
224,Roald,NO,2021-04-08 00:00:30,62.5833,6.1333,32.0,80,90,9.22
225,Alice Springs,AU,2021-04-08 00:00:30,-23.7,133.8833,81.0,33,3,4.61
226,Avdon,RU,2021-04-08 00:00:31,54.6667,55.7167,33.8,93,75,4.47
227,Richards Bay,ZA,2021-04-08 00:00:31,-28.783,32.0377,69.08,87,97,8.41
228,Cherskiy,RU,2021-04-08 00:00:32,68.75,161.3,-2.54,89,95,4.5
229,Marti,CU,2021-04-08 00:00:32,22.9475,-80.9203,77.0,61,40,11.5
230,Padang,ID,2021-04-08 00:00:01,-0.9492,100.3543,75.2,100,40,1.14
231,Great Yarmouth,GB,2021-04-08 00:00:33,52.6083,1.7305,37.0,69,50,4.61
232,Kahului,US,2021-04-07 23:59:49,20.8947,-156.47,80.6,50,40,18.41
233,Ancud,CL,2021-04-08 00:00:33,-41.8697,-73.8203,55.99,88,88,14.0
234,Reconquista,AR,2021-04-08 00:00:34,-29.15,-59.65,71.11,84,23,7.45
